index,Vehicle_ID,Frame_ID,Total_Frames,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Width,v_Class,v_Vel,v_Acc,Lane_ID,O_Zone,D_Zone,Int_ID,Section_ID,Direction,Movement,Preceding,Following,Space_Headway,Time_Headway,Location,d
5876917,25,132,436,1118846992100,40.331,282.941,6451292.303,1873147.515,18.5,5.9,2,45.26,2.69,4,,,,,,,21,34,99.28,2.19,us-101,99.2864876254569
5904837,8,133,448,1118846992200,40.272,455.372,6451418.719,1873028.873,15.5,5.4,2,34.98,-0.25,4,,,,,,,5,21,59.13,1.69,us-101,68.98801792340464
5307613,18,133,291,1118846992200,50.816,351.233,6451334.572,1873092.082,14.5,6.4,2,36.78,0.85,5,,,,,,,14,31,91.41,2.49,us-101,36.99972632331219
203403,20,133,414,1118846992200,26.635,301.669,6451315.269,1873144.365,17.5,5.9,2,45.32,-0.04,3,,,,,,,9,47,130.37,2.88,us-101,85.66163489567548
7148924,21,133,439,1118846992200,39.288,386.391,6451368.675,1873076.331,18.0,6.9,2,41.23,-9.39,4,,,,,,,8,25,68.98,1.67,us-101,0.0
8184356,25,133,436,1118846992200,40.353,287.506,6451295.582,1873144.315,18.5,5.9,2,45.38,-0.89,4,,,,,,,21,34,98.88,2.18,us-101,98.89073490474226
4211967,8,134,448,1118846992300,40.347,458.867,6451421.241,1873026.446,15.5,5.4,2,34.96,-0.12,4,,,,,,,5,21,59.39,1.7,us-101,68.42949841259984
2887670,18,134,291,1118846992300,50.902,354.86,6451337.455,1873089.309,14.5,6.4,2,37.36,11.2,5,,,,,,,14,31,91.9,2.46,us-101,37.418055120489605
6231356,20,134,414,1118846992300,26.605,306.231,6451318.587,1873141.201,17.5,5.9,2,45.06,-4.8,3,,,,,,,9,47,130.32,2.89,us-101,85.17056555524331
6269797,21,134,439,1118846992300,39.334,390.445,6451371.615,1873073.559,18.0,6.9,2,40.49,-5.89,4,,,,,,,8,25,68.42,1.69,us-101,0.0
6577061,25,134,436,1118846992300,40.183,292.041,6451298.951,1873141.295,18.5,5.9,2,45.35,-0.69,4,,,,,,,21,34,98.4,2.17,us-101,98.4076623896737
5867815,8,135,448,1118846992400,40.422,462.35,6451423.764,1873024.02,15.5,5.4,2,35.08,1.97,4,,,,,,,5,21,59.67,1.7,us-101,67.91940630629809
415094,18,135,291,1118846992400,50.987,358.652,6451340.338,1873086.536,14.5,6.4,2,38.68,11.2,5,,,,,,,14,31,92.23,2.38,us-101,37.609259764052794
122727,20,135,414,1118846992400,26.628,310.731,6451321.828,1873138.036,17.5,5.9,2,44.5,-7.33,3,,,,,,,9,47,130.53,2.93,us-101,84.6786367981913
4297099,21,135,439,1118846992400,39.419,394.438,6451374.476,1873070.806,18.0,6.9,2,40.08,-1.99,4,,,,,,,8,25,67.91,1.69,us-101,0.0
7443821,25,135,436,1118846992400,39.947,296.556,6451302.35,1873138.338,18.5,5.9,2,45.41,1.9,4,,,,,,,21,34,97.88,2.16,us-101,97.88342407169868
5015089,8,136,448,1118846992500,40.496,465.841,6451426.265,1873021.614,15.5,5.4,2,35.51,6.23,4,,,,,,,5,21,59.93,1.69,us-101,67.42828280476968
8572618,18,136,291,1118846992500,51.073,362.623,6451343.22,1873083.763,14.5,6.4,2,39.7,4.61,5,,,,,,,14,31,92.35,2.33,us-101,37.61972664706646
3536485,20,136,414,1118846992500,26.581,315.13,6451325.014,1873135.022,17.5,5.9,2,43.97,-4.54,3,,,,,,,9,47,131.01,2.98,us-101,84.28673606208751
512214,21,136,439,1118846992500,39.505,398.42,6451377.359,1873068.033,18.0,6.9,2,39.96,0.12,4,,,,,,,8,25,67.42,1.69,us-101,0.0
8052213,25,136,436,1118846992500,39.776,301.103,6451305.727,1873135.313,18.5,5.9,2,45.57,2.23,4,,,,,,,21,34,97.32,2.14,us-101,97.31737732799833
3786194,8,137,448,1118846992600,40.532,469.392,6451428.844,1873019.188,15.5,5.4,2,36.35,10.79,4,,,,,,,5,21,60.1,1.65,us-101,66.98361001021068
2818883,18,137,291,1118846992600,51.158,366.653,6451346.103,1873080.99,14.5,6.4,2,39.99,0.0,5,,,,,,,14,31,92.23,2.31,us-101,37.58611622660687
792376,20,137,414,1118846992600,26.572,319.464,6451328.108,1873132.045,17.5,5.9,2,43.83,1.68,3,,,,,,,9,47,131.72,3.01,us-101,83.96643830721894
925572,21,137,439,1118846992600,39.591,402.415,6451380.241,1873065.26,18.0,6.9,2,39.97,0.27,4,,,,,,,8,25,66.98,1.68,us-101,0.0
8627562,25,137,436,1118846992600,39.754,305.695,6451309.052,1873132.129,18.5,5.9,2,45.56,-1.63,4,,,,,,,21,34,96.72,2.12,us-101,96.72013734998522
8313392,8,138,448,1118846992700,40.589,473.084,6451431.508,1873016.655,15.5,5.4,2,37.49,11.2,4,,,,,,,5,21,60.13,1.6,us-101,66.67425134937776
5567674,18,138,291,1118846992700,51.244,370.652,6451348.986,1873078.217,14.5,6.4,2,39.99,0.0,5,,,,,,,14,31,92.01,2.3,us-101,37.58832691142292
3534721,20,138,414,1118846992700,26.547,323.827,6451331.263,1873129.03,17.5,5.9,2,44.14,5.54,3,,,,,,,9,47,132.59,3.0,us-101,83.62603399659702
7978344,21,138,439,1118846992700,39.676,406.416,6451383.124,1873062.487,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,66.67,1.67,us-101,0.0
5394626,25,138,436,1118846992700,39.812,310.275,6451312.333,1873128.878,18.5,5.9,2,45.17,-6.5,4,,,,,,,21,34,96.14,2.13,us-101,96.14109619200316
8258704,8,139,448,1118846992800,40.693,476.891,6451434.249,1873013.988,15.5,5.4,2,38.64,10.76,4,,,,,,,5,21,60.08,1.55,us-101,66.48253304440196
5380628,18,139,291,1118846992800,51.33,374.651,6451351.868,1873075.444,14.5,6.4,2,39.99,0.0,5,,,,,,,14,31,91.66,2.29,us-101,37.588634678583375
3245084,20,139,414,1118846992800,26.551,328.273,6451334.464,1873125.93,17.5,5.9,2,44.61,4.58,3,,,,,,,9,47,133.47,2.99,us-101,83.19742943144337
7642803,21,139,439,1118846992800,39.761,410.415,6451386.007,1873059.714,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,66.48,1.66,us-101,0.0
5733307,25,139,436,1118846992800,39.828,314.773,6451315.549,1873125.747,18.5,5.9,2,44.49,-8.13,4,,,,,,,21,34,95.64,2.15,us-101,95.6420234677205
4369040,8,140,448,1118846992900,40.818,480.838,6451437.075,1873011.214,15.5,5.4,2,39.47,6.21,4,,,,,,,5,21,60.0,1.52,us-101,66.43109676198343
447577,18,140,291,1118846992900,51.416,378.651,6451354.751,1873072.67,14.5,6.4,2,39.99,0.0,5,,,,,,,14,31,91.13,2.28,us-101,37.58768322203429
6511782,20,140,414,1118846992900,26.541,332.775,6451337.728,1873122.79,17.5,5.9,2,44.93,1.67,3,,,,,,,9,47,134.28,2.99,us-101,82.71623756554696
8441219,21,140,439,1118846992900,39.847,414.414,6451388.89,1873056.941,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,66.42,1.66,us-101,0.0
1920643,25,140,436,1118846992900,39.79,319.168,6451318.722,1873122.733,18.5,5.9,2,43.82,-5.75,4,,,,,,,21,34,95.25,2.17,us-101,95.24601705583281
3490073,8,141,448,1118846993000,40.904,484.881,6451439.979,1873008.421,15.5,5.4,2,39.57,-3.38,4,,,,,,,5,21,59.92,1.51,us-101,66.47509206462217
6072921,18,141,291,1118846993000,51.501,382.65,6451357.634,1873069.897,14.5,6.4,2,39.99,0.0,5,,,,,,,14,31,90.59,2.27,us-101,37.587375447083325
6534192,20,141,414,1118846993000,26.53,337.289,6451340.971,1873119.671,17.5,5.9,2,45.03,-0.09,3,,,,,,,9,47,135.08,3.0,us-101,82.2237422220614
2437155,21,141,439,1118846993000,39.933,418.413,6451391.772,1873054.168,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,66.47,1.66,us-101,0.0
647597,25,141,436,1118846993000,39.778,323.496,6451321.84,1873119.736,18.5,5.9,2,43.42,-2.06,4,,,,,,,21,34,94.92,2.19,us-101,94.91712655785575
1008979,8,142,448,1118846993100,40.989,488.862,6451442.862,1873005.648,15.5,5.4,2,38.92,-10.14,4,,,,,,,5,21,59.95,1.54,us-101,66.45709398551826
4298241,18,142,291,1118846993100,51.587,386.649,6451360.517,1873067.124,14.5,6.4,2,39.99,0.0,5,,,,,,,14,31,90.07,2.25,us-101,37.58768322203429
5026596,20,142,414,1118846993100,26.519,341.831,6451344.214,1873116.551,17.5,5.9,2,44.68,-5.73,3,,,,,,,9,47,135.87,3.04,us-101,81.70385891743422
505198,21,142,439,1118846993100,40.018,422.412,6451394.655,1873051.395,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,66.45,1.66,us-101,0.0
5708152,25,142,436,1118846993100,39.768,327.811,6451324.953,1873116.741,18.5,5.9,2,43.33,0.38,4,,,,,,,21,34,94.6,2.18,us-101,94.60133033419773
8560909,8,143,448,1118846993200,41.075,492.678,6451445.744,1873002.875,15.5,5.4,2,38.36,-5.09,4,,,,,,,5,21,60.16,1.57,us-101,66.27411357385324
2644901,18,143,291,1118846993200,51.673,390.648,6451363.399,1873064.351,14.5,6.4,2,39.99,0.0,5,,,,,,,14,31,89.58,2.24,us-101,37.58768322203429
1508701,20,143,414,1118846993200,26.509,346.293,6451347.457,1873113.431,17.5,5.9,2,43.87,-10.26,3,,,,,,,9,47,136.7,3.12,us-101,81.26326321899705
5527858,21,143,439,1118846993200,40.104,426.411,6451397.538,1873048.621,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,66.27,1.66,us-101,0.0
1610843,25,143,436,1118846993200,39.758,332.144,6451328.066,1873113.747,18.5,5.9,2,43.34,0.43,4,,,,,,,21,34,94.27,2.18,us-101,94.26763498147176
5238116,8,144,448,1118846993300,41.21,496.431,6451448.627,1873000.102,15.5,5.4,2,38.34,4.75,4,,,,,,,5,21,60.44,1.58,us-101,66.02787896033006
4126813,20,144,414,1118846993300,26.499,350.602,6451350.7,1873110.311,17.5,5.9,2,43.31,-4.93,3,,,,,,,9,47,137.45,3.17,us-101,80.97481066356379
4617534,21,144,439,1118846993300,40.19,430.411,6451400.42,1873045.848,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,66.02,1.65,us-101,0.0
1481349,25,144,436,1118846993300,39.748,336.496,6451331.209,1873110.723,18.5,5.9,2,43.24,-1.98,4,,,,,,,21,34,93.92,2.17,us-101,93.91604010497889
4153903,31,144,465,1118846993300,52.093,329.303,6451317.473,1873106.83,15.5,6.9,2,40.84,3.48,5,,,,,,,18,35,65.34,1.6,us-101,101.80623297716109
2528076,8,145,448,1118846993400,41.355,500.241,6451451.51,1872997.329,15.5,5.4,2,38.88,9.97,4,,,,,,,5,21,60.69,1.56,us-101,65.83984205631113
7846948,20,145,414,1118846993400,26.578,354.851,6451353.943,1873107.192,17.5,5.9,2,43.31,4.9,3,,,,,,,9,47,138.11,3.19,us-101,80.72960847793084
4199039,21,145,439,1118846993400,40.276,434.41,6451403.303,1873043.075,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,65.83,1.65,us-101,0.0
1979894,25,145,436,1118846993400,39.738,340.857,6451334.343,1873107.708,18.5,5.9,2,42.33,-11.2,4,,,,,,,21,34,93.55,2.21,us-101,93.55454693920547
2073871,31,145,465,1118846993400,52.084,333.41,6451320.418,1873103.997,15.5,6.9,2,41.17,2.87,5,,,,,,,18,35,65.24,1.58,us-101,101.68789929976919
6007021,8,146,448,1118846993500,41.501,504.204,6451454.392,1872994.556,15.5,5.4,2,39.64,5.34,4,,,,,,,5,21,60.76,1.53,us-101,65.80487538929013
6853219,18,146,291,1118846993500,51.929,402.644,6451372.047,1873056.032,14.5,6.4,2,40.0,0.16,5,,,,,,,14,31,87.85,2.2,us-101,37.58927837828227
2009458,20,146,414,1118846993500,26.674,359.159,6451357.186,1873104.072,17.5,5.9,2,43.87,10.22,3,,,,,,,9,47,138.54,3.16,us-101,80.42323339060673
293062,21,146,439,1118846993500,40.361,438.409,6451406.186,1873040.302,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,65.8,1.65,us-101,0.0
3452998,25,146,436,1118846993500,39.765,344.966,6451337.403,1873104.713,18.5,5.9,2,40.49,-11.2,4,,,,,,,21,34,93.44,2.31,us-101,93.44490069019281
5756824,8,147,448,1118846993600,41.646,508.237,6451457.275,1872991.783,15.5,5.4,2,39.98,0.0,4,,,,,,,5,21,60.71,1.52,us-101,65.83993652032177
7415954,20,147,414,1118846993600,26.771,363.623,6451360.429,1873100.952,17.5,5.9,2,44.65,5.45,3,,,,,,,9,47,138.58,3.1,us-101,79.963003007641
3698059,21,147,439,1118846993600,40.446,442.408,6451409.069,1873037.529,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,65.83,1.65,us-101,0.0
6589068,25,147,436,1118846993600,39.733,348.968,6451340.427,1873101.835,18.5,5.9,2,39.07,-11.2,4,,,,,,,21,34,93.44,2.39,us-101,93.4427202568504
2875295,31,147,465,1118846993600,52.065,341.761,6451326.414,1873098.228,15.5,6.9,2,40.56,-11.2,5,,,,,,,18,35,64.88,1.6,us-101,101.31544684795107
1389047,8,148,448,1118846993700,41.791,512.235,6451460.158,1872989.01,15.5,5.4,2,39.98,0.0,4,,,,,,,5,21,60.66,1.52,us-101,65.84003846444809
2008352,18,148,291,1118846993700,52.094,410.655,6451377.82,1873050.488,14.5,6.4,2,39.94,-1.13,5,,,,,,,14,31,86.31,2.16,us-101,37.57506284758551
2116801,20,148,414,1118846993700,26.867,368.159,6451363.672,1873097.832,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.54,3.08,us-101,79.43224615356158
7283345,21,148,439,1118846993700,40.532,446.407,6451411.951,1873034.756,18.0,6.9,2,39.99,0.0,4,,,,,,,8,25,65.83,1.65,us-101,0.0
1853457,25,148,436,1118846993700,39.748,352.712,6451343.351,1873099.043,18.5,5.9,2,38.8,7.06,4,,,,,,,21,34,93.69,2.41,us-101,93.69828003223964
3010471,8,149,448,1118846993800,41.937,516.233,6451463.041,1872986.236,15.5,5.4,2,39.98,0.0,4,,,,,,,5,21,60.64,1.52,us-101,65.84121311913987
4639799,20,149,414,1118846993800,26.963,372.658,6451366.915,1873094.713,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.55,3.08,us-101,78.93703208254028
7274087,21,149,439,1118846993800,40.618,450.405,6451414.834,1873031.983,18.0,6.9,2,40.0,0.11,4,,,,,,,8,25,65.83,1.65,us-101,0.0
5525010,25,149,436,1118846993800,39.836,356.604,6451346.322,1873096.185,18.5,5.9,2,39.6,11.2,4,,,,,,,21,34,93.8,2.37,us-101,93.8042596314261
4517425,31,149,465,1118846993800,52.046,349.489,6451332.309,1873092.557,15.5,6.9,2,37.08,-11.2,5,,,,,,,18,35,65.17,1.76,us-101,101.56100747826402
7077096,8,150,448,1118846993900,42.083,520.23,6451465.923,1872983.463,15.5,5.4,2,39.97,0.0,4,,,,,,,5,21,60.69,1.52,us-101,65.83946403943463
8053415,20,150,414,1118846993900,27.059,377.157,6451370.159,1873091.593,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.54,3.08,us-101,78.44368833755841
6197624,21,150,439,1118846993900,40.703,454.405,6451417.717,1873029.21,18.0,6.9,2,40.01,0.14,4,,,,,,,8,25,65.82,1.65,us-101,0.0
2613146,25,150,436,1118846993900,39.926,360.644,6451349.347,1873093.275,18.5,5.9,2,40.68,5.8,4,,,,,,,21,34,93.76,2.3,us-101,93.76421945497117
1571189,31,150,465,1118846993900,52.086,353.031,6451335.171,1873089.804,15.5,6.9,2,36.76,7.94,5,,,,,,,18,35,65.6,1.78,us-101,102.0110805991192
1127845,8,151,448,1118846994000,42.228,524.227,6451468.806,1872980.69,15.5,5.4,2,39.97,0.0,4,,,,,,,5,21,60.75,1.52,us-101,65.83410104953204
118952,20,151,414,1118846994000,27.156,381.656,6451373.402,1873088.473,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.53,3.08,us-101,77.95844885578472
5700934,21,151,439,1118846994000,40.818,458.408,6451420.579,1873026.416,18.0,6.9,2,40.01,0.0,4,,,,,,,8,25,65.82,1.65,us-101,0.0
6378601,25,151,436,1118846994000,40.03,364.829,6451352.318,1873090.396,18.5,5.9,2,40.84,-5.48,4,,,,,,,21,34,93.58,2.29,us-101,93.58231769410288
7909068,31,151,465,1118846994000,52.171,356.744,6451338.054,1873087.031,15.5,6.9,2,37.75,11.2,5,,,,,,,18,35,65.78,1.74,us-101,102.29594080411987
7161716,8,152,448,1118846994100,42.373,528.224,6451471.689,1872977.917,15.5,5.4,2,39.97,0.0,4,,,,,,,5,21,60.79,1.52,us-101,65.83231976013003
2242229,18,152,291,1118846994100,52.359,426.339,6451389.182,1873039.656,14.5,6.4,2,38.03,-4.96,5,,,,,,,14,31,84.61,2.22,us-101,37.85766654193044
4116940,20,152,414,1118846994100,27.251,386.155,6451376.645,1873085.354,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.53,3.08,us-101,77.45940265713391
5842623,21,152,439,1118846994100,40.863,462.409,6451423.5,1873023.663,18.0,6.9,2,40.01,-0.09,4,,,,,,,8,25,65.82,1.64,us-101,0.0
8474903,25,152,436,1118846994100,40.101,368.882,6451355.243,1873087.604,18.5,5.9,2,40.38,-4.5,4,,,,,,,21,34,93.53,2.32,us-101,93.53010410023073
3541340,8,153,448,1118846994200,42.519,532.222,6451474.571,1872975.144,15.5,5.4,2,39.97,0.0,4,,,,,,,5,21,60.8,1.52,us-101,65.83521146772446
3748557,20,153,414,1118846994200,27.348,390.654,6451379.888,1873082.234,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.53,3.08,us-101,76.94165676666964
847290,21,153,439,1118846994200,40.809,466.409,6451426.469,1873021.0,18.0,6.9,2,40.01,0.05,4,,,,,,,8,25,65.81,1.64,us-101,0.0
5819865,25,153,436,1118846994200,40.186,372.879,6451358.104,1873084.851,18.5,5.9,2,40.06,-1.67,4,,,,,,,21,34,93.53,2.33,us-101,93.53207486739507
6387774,31,153,465,1118846994200,52.342,364.638,6451343.819,1873081.485,15.5,6.9,2,39.99,0.0,5,,,,,,,18,35,65.46,1.64,us-101,102.4223927176084
8021380,8,154,448,1118846994300,42.664,536.219,6451477.454,1872972.371,15.5,5.4,2,39.97,0.0,4,,,,,,,5,21,60.8,1.52,us-101,65.84138844981938
2484494,18,154,291,1118846994300,52.107,433.841,6451394.863,1873034.764,14.5,6.4,2,37.53,-0.32,5,,,,,,,14,31,84.03,2.24,us-101,38.304835934905114
5976016,20,154,414,1118846994300,27.445,395.153,6451383.131,1873079.114,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.53,3.08,us-101,76.4119101972984
7500786,21,154,439,1118846994300,40.697,470.407,6451429.49,1873018.369,18.0,6.9,2,40.04,0.49,4,,,,,,,8,25,65.81,1.64,us-101,0.0
2238982,25,154,436,1118846994300,40.272,376.863,6451360.987,1873082.078,18.5,5.9,2,39.96,0.09,4,,,,,,,21,34,93.54,2.34,us-101,93.54496544977712
2417789,8,155,448,1118846994400,42.809,540.216,6451480.337,1872969.598,15.5,5.4,2,39.97,0.0,4,,,,,,,5,21,60.8,1.52,us-101,65.83608282697261
7158907,20,155,414,1118846994400,27.541,399.652,6451386.374,1873075.994,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.52,3.08,us-101,75.9052984316642
8697200,21,155,439,1118846994400,40.66,474.415,6451432.457,1873015.685,18.0,6.9,2,40.07,0.32,4,,,,,,,8,25,65.8,1.64,us-101,0.0
8470475,25,155,436,1118846994400,40.357,380.858,6451363.87,1873079.305,18.5,5.9,2,39.98,0.26,4,,,,,,,21,34,93.56,2.34,us-101,93.55749065681488
7227503,31,155,465,1118846994400,52.514,372.636,6451349.584,1873075.939,15.5,6.9,2,39.99,0.0,5,,,,,,,18,35,64.95,1.62,us-101,102.46698081333322
1848246,8,156,448,1118846994500,42.955,544.213,6451483.219,1872966.825,15.5,5.4,2,39.97,0.04,4,,,,,,,5,21,60.8,1.52,us-101,65.82146753909392
6591853,20,156,414,1118846994500,27.637,404.151,6451389.617,1873072.875,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.51,3.08,us-101,75.41977502618262
1470870,21,156,439,1118846994500,40.705,478.43,6451435.378,1873012.931,18.0,6.9,2,40.04,-0.72,4,,,,,,,8,25,65.78,1.64,us-101,0.0
4577645,25,156,436,1118846994500,40.443,384.859,6451366.752,1873076.532,18.5,5.9,2,39.99,0.0,4,,,,,,,21,34,93.57,2.34,us-101,93.5713668009611
3218783,31,156,465,1118846994500,52.599,376.635,6451352.467,1873073.166,15.5,6.9,2,39.99,0.0,5,,,,,,,18,35,64.71,1.62,us-101,102.48750782900325
2927431,8,157,448,1118846994600,43.105,548.208,6451486.098,1872964.049,15.5,5.4,2,40.0,0.33,4,,,,,,,5,21,60.81,1.52,us-101,65.78702584096649
1504769,20,157,414,1118846994600,27.734,408.65,6451392.86,1873069.755,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.5,3.08,us-101,74.93393476923526
8430432,21,157,439,1118846994600,40.618,482.468,6451438.397,1873010.267,18.0,6.9,2,39.64,-6.34,4,,,,,,,8,25,65.74,1.66,us-101,0.0
5125678,25,157,436,1118846994600,40.529,388.858,6451369.635,1873073.758,18.5,5.9,2,39.99,0.0,4,,,,,,,21,34,93.61,2.34,us-101,93.6100423085045
7608738,31,157,465,1118846994600,52.684,380.634,6451355.35,1873070.393,15.5,6.9,2,39.99,0.0,5,,,,,,,18,35,64.46,1.61,us-101,102.546340315001
3324888,8,158,448,1118846994700,43.25,552.209,6451488.981,1872961.276,15.5,5.4,2,40.04,0.5,4,,,,,,,5,21,60.8,1.52,us-101,65.84948589776529
6417847,20,158,414,1118846994700,27.83,413.149,6451396.103,1873066.635,17.5,5.9,2,44.99,0.0,3,,,,,,,9,47,138.54,3.08,us-101,74.34033382357119
3929504,21,158,439,1118846994700,40.382,486.422,6451441.479,1873007.748,18.0,6.9,2,38.83,-10.28,4,,,,,,,8,25,65.79,1.69,us-101,0.0
5867819,25,158,436,1118846994700,40.615,392.857,6451372.518,1873070.985,18.5,5.9,2,39.99,0.0,4,,,,,,,21,34,93.56,2.34,us-101,93.56529011337484
6824130,31,158,465,1118846994700,52.77,384.633,6451358.232,1873067.62,15.5,6.9,2,39.99,0.0,5,,,,,,,18,35,64.22,1.61,us-101,102.54005590499749
